old_entity_id,canonical_entity_id,family_key,reason,confidence
complex.ecocyc.CPLX0-8267,complex.ecocyc.CPLX0-8265,comp:054cbadded68,same family_key via deterministic merge,high
complex.ecocyc.CPLX0-8268,complex.ecocyc.CPLX0-8265,comp:054cbadded68,same family_key via deterministic merge,high
complex.ecocyc.TORS-CPLX,complex.ecocyc.CPLX0-8265,comp:054cbadded68,same family_key via deterministic merge,high
complex.ecocyc.PHOSPHO-CPXA,complex.ecocyc.CPLX0-8270,comp:aeba2e6562d9,same family_key via deterministic merge,high
complex.ecocyc.PHOSPHO-OMPR,complex.ecocyc.CPLX0-8285,comp:305907d5ce5e,same family_key via deterministic merge,high
complex.ecocyc.GLNG-CPLX,complex.ecocyc.CPLX0-8566,comp:c6dbcf80c775,same family_key via deterministic merge,high
complex.ecocyc.PIIPROTEIN-CPLX,complex.ecocyc.CPLX0-8568,comp:6bad5676691d,same family_key via deterministic merge,high
complex.ecocyc.PII2-CPLX,complex.ecocyc.CPLX0-8570,comp:b6fd2515c464,same family_key via deterministic merge,high
complex.ecocyc.CPLX0-9041,complex.ecocyc.CPLX0-9039,comp:8083d352c479,same family_key via deterministic merge,high
complex.ecocyc.PHOSPHO-CREC,complex.ecocyc.CREC-CPLX,comp:50feebcaeb2b,same family_key via deterministic merge,high
complex.ecocyc.PHOSPHO-ENVZ,complex.ecocyc.ENVZ-CPLX,comp:a2ff23b87132,same family_key via deterministic merge,high
complex.ecocyc.PROTEIN-NRIIP,complex.ecocyc.GLNL-CPLX,comp:967444401254,same family_key via deterministic merge,high
protein.ecocyc.ISOCITHASE-P,complex.ecocyc.ISOCITHASE-CPLX,comp:792f38f797a6,same family_key via deterministic merge,high
complex.ecocyc.PHOSPHO-KDPD,complex.ecocyc.KDPD-CPLX,comp:c1a4c27fc4e3,same family_key via deterministic merge,high
complex.ecocyc.RIBONUCLEOSIDE-TRIP-REDUCT-CPLX,complex.ecocyc.MONOMER0-2863,comp:e8d5606d288f,same family_key via deterministic merge,high
complex.ecocyc.PHOSPHO-NARQ,complex.ecocyc.NARQ-CPLX,comp:394601491bfa,same family_key via deterministic merge,high
complex.ecocyc.PHOSPHO-NARX,complex.ecocyc.NARX-CPLX,comp:06c93fe5e063,same family_key via deterministic merge,high
