Entry	Entry Name	Gene Names	Protein names	Organism	EC number	KEGG	GeneID
P45548	PHP_ECOLI	php yhfV b3379 JW3342	Phosphotriesterase homology protein (EC 3.1.-.-)	Escherichia coli (strain K12)	3.1.-.-	ecj:JW3342;eco:b3379;ecoc:C3026_18340;	75173536;947891;
P45578	LUXS_ECOLI	luxS ygaG b2687 JW2662	S-ribosylhomocysteine lyase (EC 4.4.1.21) (AI-2 synthesis protein) (Autoinducer-2 production protein LuxS)	Escherichia coli (strain K12)	4.4.1.21	ecj:JW2662;eco:b2687;ecoc:C3026_14795;	93779324;947168;
P45579	HCXA_ECOLI	hcxA ybdH b0599 JW0592	Hydroxycarboxylate dehydrogenase A (EC 1.1.1.-) (2-oxobutanoate reductase) (2-oxoglutarate reductase)	Escherichia coli (strain K12)	1.1.1.-	ecj:JW0592;eco:b0599;ecoc:C3026_02995;	945212;
P45758	GSPD_ECOLI	gspD yheF b3325 JW5707	Putative secretin GspD (Putative general secretion pathway protein D) (Putative type II secretion system protein D) (T2SS protein D)	Escherichia coli (strain K12)		ecj:JW5707;eco:b3325;ecoc:C3026_18065;	947822;
P45799	NUDE_ECOLI	nudE yrfE b3397 JW3360	ADP compounds hydrolase NudE (EC 3.6.1.-)	Escherichia coli (strain K12)	3.6.1.-	ecj:JW3360;eco:b3397;ecoc:C3026_18430;	75206335;947906;
P46130	YBHC_ECOLI	ybhC b0772 JW0755	Putative acyl-CoA thioester hydrolase YbhC (EC 3.1.2.-)	Escherichia coli (strain K12)	3.1.2.-	ecj:JW0755;eco:b0772;ecoc:C3026_03915;	75204887;945381;
P46187	RSEC_ECOLI	rseC b2570 JW2554	Protein RseC	Escherichia coli (strain K12)		ecj:JW2554;eco:b2570;ecoc:C3026_14235;	947052;
P46474	YHDP_ECOLI	yhdP yhdQ yhdR b4472 JW5542	Intermembrane phospholipid transporter YhdP (Phospholipid transport protein YhdP)	Escherichia coli (strain K12)		ecj:JW5542;eco:b4472;ecoc:C3026_17650;	2847740;
P46852	YHHW_ECOLI	yhhW b3439 JW3402	Quercetin 2,3-dioxygenase (Quercetinase) (EC 1.13.11.24) (Pirin-like protein YhhW)	Escherichia coli (strain K12)	1.13.11.24	ecj:JW3402;eco:b3439;ecoc:C3026_18635;	93778548;947945;
P46923	TORZ_ECOLI	torZ bisZ b1872 JW1861	Trimethylamine-N-oxide reductase 2 (TMAO reductase 2) (Trimethylamine oxidase 2) (EC 1.7.2.3)	Escherichia coli (strain K12)	1.7.2.3	ecj:JW1861;eco:b1872;ecoc:C3026_10655;	946389;
P50466	AER_ECOLI	aer air yqjJ b3072 JW3043	Aerotaxis receptor	Escherichia coli (strain K12)		ecj:JW3043;eco:b3072;ecoc:C3026_16780;	945301;
P51020	HOA_ECOLI	mhpE b0352 JW0343	4-hydroxy-2-oxovalerate aldolase (HOA) (EC 4.1.3.39) (4-hydroxy-2-keto-pentanoic acid aldolase) (4-hydroxy-2-oxopentanoate aldolase)	Escherichia coli (strain K12)	4.1.3.39	ecj:JW0343;eco:b0352;ecoc:C3026_01735;ecoc:C3026_24895;	75202515;945012;
P51025	SFGH1_ECOLI	frmB yaiM b0355 JW0346	S-formylglutathione hydrolase FrmB (FGH) (EC 3.1.2.12)	Escherichia coli (strain K12)	3.1.2.12	ecj:JW0346;eco:b0355;	944991;
P52005	TORY_ECOLI	torY yecK b1873 JW1862	Cytochrome c-type protein TorY	Escherichia coli (strain K12)		ecj:JW1862;eco:b1873;ecoc:C3026_10660;	946490;
P52045	SCPB_ECOLI	scpB mmcD ygfG b2919 JW2886	Methylmalonyl-CoA decarboxylase (MMCD) (EC 4.1.1.-) (Transcarboxylase)	Escherichia coli (strain K12)	4.1.1.-	ecj:JW2886;eco:b2919;ecoc:C3026_15995;	75205243;947408;
P52062	HEMW_ECOLI	hemW yggW b2955 JW2922	Heme chaperone HemW	Escherichia coli (strain K12)		ecj:JW2922;eco:b2955;ecoc:C3026_16170;	947446;
P52094	HISQ_ECOLI	hisQ b2308 JW2305	Histidine/lysine/arginine/ornithine transport system permease protein HisQ	Escherichia coli (strain K12)		ecj:JW2305;eco:b2308;ecoc:C3026_12870;	947235;
P52097	TILS_ECOLI	tilS mesJ yaeN b0188 JW0183	tRNA(Ile)-lysidine synthase (EC 6.3.4.19) (tRNA(Ile)-2-lysyl-cytidine synthase) (tRNA(Ile)-lysidine synthetase)	Escherichia coli (strain K12)	6.3.4.19	ecj:JW0183;eco:b0188;ecoc:C3026_00865;	944889;
P52130	RNLB_ECOLI	rnlB yfjO b2631 JW5418	Antitoxin RnlB	Escherichia coli (strain K12)		ecj:JW5418;eco:b2631;ecoc:C3026_14555;	947113;
P52599	EMRK_ECOLI	emrK b2368 JW2365	Probable multidrug resistance protein EmrK	Escherichia coli (strain K12)		ecj:JW2365;eco:b2368;ecoc:C3026_13170;	946840;
P52600	EMRY_ECOLI	emrY b2367 JW2364	Probable multidrug resistance protein EmrY	Escherichia coli (strain K12)		ecj:JW2364;eco:b2367;ecoc:C3026_13165;	93774762;946835;
P52612	FLII_ECOLI	fliI fla AIII flaC b1941 JW1925	Flagellum-specific ATP synthase (EC 7.1.2.2)	Escherichia coli (strain K12)	7.1.2.2	ecj:JW1925;eco:b1941;ecoc:C3026_10995;	93775244;946457;
P52645	YDBH_ECOLI	ydbH b1381 JW1376	Probable phospholipid transport protein YdbH	Escherichia coli (strain K12)		ecj:JW1376;eco:b1381;ecoc:C3026_08070;	945949;
P52697	6PGL_ECOLI	pgl ybhE b0767 JW0750	6-phosphogluconolactonase (6-P-gluconolactonase) (Pgl) (EC 3.1.1.31)	Escherichia coli (strain K12)	3.1.1.31	ecj:JW0750;eco:b0767;ecoc:C3026_03890;	86863277;86945650;946398;
P55798	PRP1_ECOLI	pphA prpA yebX b1838 JW1827	Serine/threonine-protein phosphatase 1 (EC 3.1.3.16)	Escherichia coli (strain K12)	3.1.3.16	ecj:JW1827;eco:b1838;ecoc:C3026_10470;	946356;
P55799	PRP2_ECOLI	pphB prpB ygbH b2734 JW2704	Serine/threonine-protein phosphatase 2 (EC 3.1.3.16)	Escherichia coli (strain K12)	3.1.3.16	ecj:JW2704;eco:b2734;ecoc:C3026_15040;	947196;
P58034	YMGF_ECOLI	ymgF b4520 JW1156	Inner membrane protein YmgF	Escherichia coli (strain K12)		ecj:JW1156;eco:b4520;ecoc:C3026_06885;	1450253;75203732;
P60293	MUKF_ECOLI	mukF kicB b0922 JW0905	Chromosome partition protein MukF (Protein KicB)	Escherichia coli (strain K12)		ecj:JW0905;eco:b0922;ecoc:C3026_05670;	93776493;945548;
P60390	RSMH_ECOLI	rsmH mraW yabC b0082 JW0080	Ribosomal RNA small subunit methyltransferase H (EC 2.1.1.199) (16S rRNA m(4)C1402 methyltransferase) (rRNA (cytosine-N(4)-)-methyltransferase RsmH)	Escherichia coli (strain K12)	2.1.1.199	ecj:JW0080;eco:b0082;ecoc:C3026_00315;	86862592;944806;
P60546	KGUA_ECOLI	gmk spoR b3648 JW3623	Guanylate kinase (EC 2.7.4.8) (GMP kinase)	Escherichia coli (strain K12)	2.7.4.8	ecj:JW3623;eco:b3648;ecoc:C3026_19765;	93778363;948163;
P60584	CAIA_ECOLI	caiA yaaO b0039 JW0038	Crotonobetainyl-CoA reductase (EC 1.3.8.13) (Crotobetaine reductase) (Crotonobetainyl-CoA dehydrogenase)	Escherichia coli (strain K12)	1.3.8.13	ecj:JW0038;eco:b0039;ecoc:C3026_00205;	86862551;93777396;949064;
P60757	HIS1_ECOLI	hisG b2019 JW2001	ATP phosphoribosyltransferase (ATP-PRT) (ATP-PRTase) (EC 2.4.2.17)	Escherichia coli (strain K12)	2.4.2.17	ecj:JW2001;eco:b2019;ecoc:C3026_11385;	86946973;93775154;946549;
P60782	PLSY_ECOLI	plsY ygiH b3059 JW3031	Probable glycerol-3-phosphate acyltransferase (G3P acyltransferase) (GPAT) (EC 2.3.1.15, EC 2.3.1.n5) (Lysophosphatidic acid synthase) (LPA synthase)	Escherichia coli (strain K12)	2.3.1.15; 2.3.1.n5	ecj:JW3031;eco:b3059;ecoc:C3026_16715;	93778934;947561;
P60906	SYH_ECOLI	hisS b2514 JW2498	Histidine--tRNA ligase (EC 6.1.1.21) (Histidyl-tRNA synthetase) (HisRS)	Escherichia coli (strain K12)	6.1.1.21	ecj:JW2498;eco:b2514;ecoc:C3026_13940;	75172622;75206207;946989;
P60932	UPPP_ECOLI	uppP bacA upk b3057 JW3029	Undecaprenyl-diphosphatase (EC 3.6.1.27) (Bacitracin resistance protein) (Undecaprenyl pyrophosphate phosphatase)	Escherichia coli (strain K12)	3.6.1.27	ecj:JW3029;eco:b3057;ecoc:C3026_16705;	947551;
P61517	CAN_ECOLI	can cynT2 yadF b0126 JW0122	Carbonic anhydrase 2 (EC 4.2.1.1) (Carbonate dehydratase 2)	Escherichia coli (strain K12)	4.2.1.1	ecj:JW0122;eco:b0126;ecoc:C3026_00535;	93777310;944832;
P61714	RISB_ECOLI	ribE ribH ybaF b0415 JW0405	6,7-dimethyl-8-ribityllumazine synthase (DMRL synthase) (LS) (Lumazine synthase) (EC 2.5.1.78)	Escherichia coli (strain K12)	2.5.1.78	ecj:JW0405;eco:b0415;ecoc:C3026_02025;	946453;98391920;99810088;
P61949	FLAV_ECOLI	fldA b0684 JW0671	Flavodoxin 1 (Flavodoxin A)	Escherichia coli (strain K12)		ecj:JW0671;eco:b0684;ecoc:C3026_03410;	93776800;945293;
P62601	TREF_ECOLI	treF b3519 JW3487	Cytoplasmic trehalase (EC 3.2.1.28) (Alpha,alpha-trehalase) (Alpha,alpha-trehalose glucohydrolase)	Escherichia coli (strain K12)	3.2.1.28	ecj:JW3487;eco:b3519;ecoc:C3026_19065;	948037;
P62615	ISPE_ECOLI	ispE ipk ychB b1208 JW1199	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase (CMK) (EC 2.7.1.148) (4-(cytidine-5'-diphospho)-2-C-methyl-D-erythritol kinase)	Escherichia coli (strain K12)	2.7.1.148	ecj:JW1199;eco:b1208;ecoc:C3026_07100;	945774;
P63177	RLMB_ECOLI	rlmB yjfH b4180 JW4138	23S rRNA (guanosine-2'-O-)-methyltransferase RlmB (EC 2.1.1.185) (23S rRNA (guanosine2251 2'-O)-methyltransferase) (23S rRNA Gm2251 2'-O-methyltransferase)	Escherichia coli (strain K12)	2.1.1.185	ecj:JW4138;eco:b4180;ecoc:C3026_22585;	93777641;948694;
P63201	GADW_ECOLI	gadW yhiW b3515 JW3483	HTH-type transcriptional regulator GadW	Escherichia coli (strain K12)		ecj:JW3483;eco:b3515;ecoc:C3026_19045;	948029;
P63746	EUTS_ECOLI	eutS ypfE b2462 JW2446	Bacterial microcompartment shell protein EutS (Ethanolamine utilization protein EutS)	Escherichia coli (strain K12)		ecj:JW2446;eco:b2462;ecoc:C3026_13660;	86860593;946936;
P64426	DIGH_ECOLI	digH yddW b1491 JW1486	Glycosyl hydrolase DigH (EC 3.2.1.-) (Divisome-localized glycosyl hydrolase)	Escherichia coli (strain K12)	3.2.1.-	ecj:JW1486;eco:b1491;	75204859;945975;
P64506	YEBY_ECOLI	yebY b1839 JW1828	Protein YebY	Escherichia coli (strain K12)		ecj:JW1828;eco:b1839;	93776106;947014;
P64550	ALAE_ECOLI	alaE ygaW b2670 JW2645	L-alanine exporter AlaE	Escherichia coli (strain K12)		ecj:JW2645;eco:b2670;ecoc:C3026_14715;	75172753;75205913;947147;
P64554	QUEE_ECOLI	queE ygcF b2777 JW2748	7-carboxy-7-deazaguanine synthase (CDG synthase) (EC 4.3.99.3) (Queuosine biosynthesis protein QueE)	Escherichia coli (strain K12)	4.3.99.3	ecj:JW2748;eco:b2777;ecoc:C3026_15250;	89517576;947527;
P64559	SDHE_ECOLI	sdhE cptB ygfY b2897 JW2865	FAD assembly factor SdhE (Antitoxin CptB)	Escherichia coli (strain K12)		ecj:JW2865;eco:b2897;ecoc:C3026_15885;	86860979;93779105;947382;
P64578	HIGB_ECOLI	higB ygjN b3083 JW3054	mRNA interferase toxin HigB (EC 3.1.-.-) (Endoribonuclease HigB) (Toxin HigB)	Escherichia coli (strain K12)	3.1.-.-	ecj:JW3054;eco:b3083;ecoc:C3026_16835;	89517935;93778904;947591;
P64581	YQJD_ECOLI	yqjD b3098 JW3069	Uncharacterized protein YqjD	Escherichia coli (strain K12)		ecj:JW3069;eco:b3098;ecoc:C3026_16915;	93778885;947614;
P64646	GHOT_ECOLI	ghoT yjdO b4559 JW5732	Toxin GhoT	Escherichia coli (strain K12)		ecj:JW5732;eco:b4559;ecoc:C3026_22315;	1450308;93777703;
P65643	EUTT_ECOLI	eutT ypfB b2459 JW2443	Corrinoid adenosyltransferase EutT (EC 2.5.1.154) (ATP:co(I)rrinoid adenosyltransferase) (ACAT) (Cob(II)alamin adenosyltransferase EutT) (Ethanolamine utilization cobalamin adenosyltransferase) (Ethanolamine utilization corrinoid adenosyltransferase) (EutT adenosyltransferase)	Escherichia coli (strain K12)	2.5.1.154	ecj:JW2443;eco:b2459;ecoc:C3026_13645;	75204269;946939;
P65870	QUED_ECOLI	queD ygcM b2765 JW2735	6-carboxy-5,6,7,8-tetrahydropterin synthase (CPH4 synthase) (EC 4.1.2.50) (Queuosine biosynthesis protein QueD)	Escherichia coli (strain K12)	4.1.2.50	ecj:JW2735;eco:b2765;	945123;
P67080	PLPHP_ECOLI	yggS b2951 JW2918	Pyridoxal phosphate homeostasis protein (PLP homeostasis protein)	Escherichia coli (strain K12)		ecj:JW2918;eco:b2951;ecoc:C3026_16150;	93779046;947423;
P67662	AAER_ECOLI	aaeR qseA yhcS b3243 JW3212	HTH-type transcriptional activator AaeR (Quorum sensing regulator A)	Escherichia coli (strain K12)		ecj:JW3212;eco:b3243;ecoc:C3026_17640;	86862368;93778742;947760;
P67697	HICB_ECOLI	hicB ydcQ b1438 JW1433	Antitoxin HicB	Escherichia coli (strain K12)		ecj:JW1433;eco:b1438;	93775583;946001;
P67701	HIGA_ECOLI	higA ygjM b3082 JW3053	Antitoxin HigA	Escherichia coli (strain K12)		ecj:JW3053;eco:b3082;ecoc:C3026_16830;	947593;
P68066	GRCA_ECOLI	grcA yfiD b2579 JW2563	Autonomous glycyl radical cofactor	Escherichia coli (strain K12)		ecj:JW2563;eco:b2579;ecoc:C3026_14290;	93774507;947068;
P68191	SRA_ECOLI	sra rpsV b1480 JW5962	Stationary-phase-induced ribosome-associated protein (Protein D) (SRA) (30S ribosomal protein S22)	Escherichia coli (strain K12)		ecj:JW5962;eco:b1480;ecoc:C3026_08580;	86946419;93775639;946030;
P68567	RSMJ_ECOLI	rsmJ yhiQ b3497 JW5672	Ribosomal RNA small subunit methyltransferase J (EC 2.1.1.242) (16S rRNA m2G1516 methyltransferase) (rRNA (guanine-N(2)-)-methyltransferase)	Escherichia coli (strain K12)	2.1.1.242	ecj:JW5672;eco:b3497;ecoc:C3026_18940;	948005;
P69222	IF1_ECOLI	infA b0884 JW0867	Translation initiation factor IF-1	Escherichia coli (strain K12)		ecj:JW0867;eco:b0884;ecoc:C3026_05485;	86863406;93776536;945500;
P69330	CITD_ECOLI	citD ybdX b0617 JW0609	Citrate lyase acyl carrier protein (Citrate lyase gamma chain)	Escherichia coli (strain K12)		ecj:JW0609;eco:b0617;ecoc:C3026_03085;	86863137;93776868;945415;
P69432	PGAD_ECOLI	pgaD ycdP b1021 JW1006	Biofilm PGA synthesis protein PgaD	Escherichia coli (strain K12)		ecj:JW1006;eco:b1021;ecoc:C3026_06210;	75171097;947503;
P69434	PGAA_ECOLI	pgaA ycdS b1024 JW1010	Poly-beta-1,6-N-acetyl-D-glucosamine export protein (PGA export protein) (Poly-beta-1,6-GlcNAc export protein)	Escherichia coli (strain K12)		ecj:JW1010;eco:b1024;ecoc:C3026_06225;	945596;
P69488	CUTA_ECOLI	cutA cutA1 cycY b4137 JW4097	Divalent-cation tolerance protein CutA (C-type cytochrome biogenesis protein CycY)	Escherichia coli (strain K12)		ecj:JW4097;eco:b4137;ecoc:C3026_22360;	93777687;948660;
P69503	APT_ECOLI	apt b0469 JW0458	Adenine phosphoribosyltransferase (APRT) (EC 2.4.2.7)	Escherichia coli (strain K12)	2.4.2.7	ecj:JW0458;eco:b0469;ecoc:C3026_02305;	93776981;945113;
P69506	YTFE_ECOLI	ytfE b4209 JW4167	Iron-sulfur cluster repair protein YtfE (Regulator of cell morphogenesis and NO signaling) (RCMNS)	Escherichia coli (strain K12)		ecj:JW4167;eco:b4209;ecoc:C3026_22735;	93777612;948724;
P69811	PTFAH_ECOLI	fruB fpr fruF b2169 JW2156	Multiphosphoryl transfer protein (MTP) (Diphosphoryl transfer protein) (DTP) (Phosphotransferase FPr protein) (Pseudo-HPr) [Includes: Phosphocarrier protein HPr (Protein H); PTS system fructose-specific EIIA component (EIIA-Fru) (EIII-Fru) (Fructose-specific phosphotransferase enzyme IIA component)]	Escherichia coli (strain K12)		ecj:JW2156;eco:b2169;	75172297;75206422;946677;
P69820	ULAC_ECOLI	ulaC ptxA sgaA yjfU b4195 JW4153	Ascorbate-specific PTS system EIIA component (Ascorbate-specific phosphotransferase enzyme IIA component)	Escherichia coli (strain K12)		ecj:JW4153;eco:b4195;ecoc:C3026_22660;	948715;
P69829	PTSN_ECOLI	ptsN rpoP yhbI b3204 JW3171	Nitrogen regulatory protein (Enzyme IIA-NTR) (PTS system EIIA component) (Phosphotransferase enzyme IIA component)	Escherichia coli (strain K12)		ecj:JW3171;eco:b3204;ecoc:C3026_17435;	86862399;947721;
P71229	HYFR_ECOLI	hyfR b2491 JW2476	DNA-binding transcriptional activator HyfR (Hydrogenase-4 transcriptional activator)	Escherichia coli (strain K12)		ecj:JW2476;eco:b2491;ecoc:C3026_13820;	948886;
P71241	WCAJ_ECOLI	wcaJ b2047 JW2032	UDP-glucose:undecaprenyl-phosphate glucose-1-phosphate transferase (UDP-Glc:Und-P Glc-1-P transferase) (EC 2.7.8.31) (Colanic acid biosynthesis UDP-glucose lipid carrier transferase) (Glucosyl-P-P-undecaprenol synthase)	Escherichia coli (strain K12)	2.7.8.31	ecj:JW2032;eco:b2047;ecoc:C3026_11525;	946583;
P75712	ALLP_ECOLI	ybbW glxB2 b0511 JW0499	Putative allantoin permease (Allantoin transport protein) (Allantoin transporter)	Escherichia coli (strain K12)		ecj:JW0499;eco:b0511;ecoc:C3026_02505;	945138;
P75713	ALLE_ECOLI	allE glxB6 ylbA b0515 JW0503	(S)-ureidoglycine aminohydrolase (UGHY) (UGlyAH) (EC 3.5.3.26)	Escherichia coli (strain K12)	3.5.3.26	ecj:JW0503;eco:b0515;ecoc:C3026_02525;	945149;
P75726	CILA_ECOLI	citF ybdV b0615 JW5087	Citrate lyase alpha chain (Citrase alpha chain) (EC 4.1.3.6) (Citrate (pro-3S)-lyase alpha chain) (Citrate CoA-transferase subunit) (EC 2.8.3.10)	Escherichia coli (strain K12)	2.8.3.10; 4.1.3.6	ecj:JW5087;eco:b0615;ecoc:C3026_03075;	945230;
P75728	UBIF_ECOLI	ubiF yleB b0662 JW0659	3-demethoxyubiquinol 3-hydroxylase (EC 1.14.99.60) (2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase)	Escherichia coli (strain K12)	1.14.99.60	ecj:JW0659;eco:b0662;ecoc:C3026_03310;	945261;
P75780	FIU_ECOLI	fiu ybiL b0805 JW0790	Catecholate siderophore receptor Fiu (Ferric iron uptake protein) (TonB-dependent receptor Fiu)	Escherichia coli (strain K12)		ecj:JW0790;eco:b0805;ecoc:C3026_05075;	946246;
P75783	YBIO_ECOLI	ybiO b0808 JW5108	Moderate conductance mechanosensitive channel YbiO	Escherichia coli (strain K12)		ecj:JW5108;eco:b0808;ecoc:C3026_05090;	75170874;945935;
P75796	GSIA_ECOLI	gsiA yliA b0829 JW5897	Glutathione import ATP-binding protein GsiA (EC 7.4.2.10)	Escherichia coli (strain K12)	7.4.2.10	ecj:JW5897;eco:b0829;ecoc:C3026_05200;	945457;
P75797	GSIB_ECOLI	gsiB yliB b0830 JW5111	Glutathione-binding protein GsiB	Escherichia coli (strain K12)		ecj:JW5111;eco:b0830;	945459;
P75798	GSIC_ECOLI	gsiC yliC b0831 JW0815	Glutathione transport system permease protein GsiC	Escherichia coli (strain K12)		ecj:JW0815;eco:b0831;ecoc:C3026_05210;	86863342;945460;
P75800	PDEI_ECOLI	pdeI yliE b0833 JW0817	Probable cyclic di-GMP synthase PdeI (EC 2.7.7.65) (c-di-GMP synthetase) (c-di-GMP-specific phosphodiesterase)	Escherichia coli (strain K12)	2.7.7.65	ecj:JW0817;eco:b0833;ecoc:C3026_05220;	945462;
P75801	DGCI_ECOLI	dgcI yliF b0834 JW0818	Probable diguanylate cyclase DgcI (DGC) (EC 2.7.7.65) (Putative lipoprotein DgcI)	Escherichia coli (strain K12)	2.7.7.65	ecj:JW0818;eco:b0834;ecoc:C3026_05225;	945463;
P75806	YBJG_ECOLI	ybjG b0841 JW5112	Putative undecaprenyl-diphosphatase YbjG (EC 3.6.1.27) (Undecaprenyl pyrophosphate phosphatase)	Escherichia coli (strain K12)	3.6.1.27	ecj:JW5112;eco:b0841;ecoc:C3026_05260;	945450;
P75824	HCR_ECOLI	hcr ybjV b0872 JW5117	NADH oxidoreductase HCR (EC 1.-.-.-)	Escherichia coli (strain K12)	1.-.-.-	ecj:JW5117;eco:b0872;ecoc:C3026_05420;	93776549;947660;
P75843	ICLRG_ECOLI	ycaQ b0916 JW0899	Interstrand DNA cross-link repair glycosylase (ICL repair glycosylase) (EC 3.2.2.-) (Alkylpurine DNA glycosylase)	Escherichia coli (strain K12)	3.2.2.-	ecj:JW0899;eco:b0916;ecoc:C3026_05640;	945524;
P75869	SXY_ECOLI	sxy tfoX yccR b0959 JW0942	Protein Sxy (Competence activator Sxy)	Escherichia coli (strain K12)		ecj:JW0942;eco:b0959;ecoc:C3026_05865;	93776455;946504;
P75893	RUTF_ECOLI	rutF ycdH b1007 JW5138	FMN reductase (NADH) RutF (EC 1.5.1.42) (FMN reductase) (NADH-flavin reductase RutF) (NADH:flavin oxidoreductase)	Escherichia coli (strain K12)	1.5.1.42	ecj:JW5138;eco:b1007;ecoc:C3026_06130;	946594;
P75894	RUTE_ECOLI	rutE ycdI b1008 JW0993	Probable malonic semialdehyde reductase RutE (EC 1.1.1.298)	Escherichia coli (strain K12)	1.1.1.298	ecj:JW0993;eco:b1008;ecoc:C3026_06135;	946591;
P75895	RUTD_ECOLI	rutD ycdJ b1009 JW0994	Putative carbamate hydrolase RutD (EC 3.5.1.-) (Aminohydrolase)	Escherichia coli (strain K12)	3.5.1.-	ecj:JW0994;eco:b1009;ecoc:C3026_06140;	946586;
P75897	RUTB_ECOLI	rutB ycdL b1011 JW5139	Ureidoacrylate amidohydrolase RutB (EC 3.5.1.110)	Escherichia coli (strain K12)	3.5.1.110	ecj:JW5139;eco:b1011;ecoc:C3026_06150;	945699;
P75905	PGAC_ECOLI	pgaC ycdQ b1022 JW1007	Poly-beta-1,6-N-acetyl-D-glucosamine synthase (PGA synthase) (Poly-beta-1,6-GlcNAc synthase) (EC 2.4.1.-) (Biofilm PGA synthesis protein PgaC) (N-acetylglucosaminyltransferase PgaC)	Escherichia coli (strain K12)	2.4.1.-	ecj:JW1007;eco:b1022;	945606;
P75915	YCDY_ECOLI	ycdY b1035 JW1018	Chaperone protein YcdY	Escherichia coli (strain K12)		ecj:JW1018;eco:b1035;	75203623;945609;
P75919	CLSC_ECOLI	clsC ymdC b1046 JW5150	Cardiolipin synthase C (CL synthase) (EC 2.7.8.-)	Escherichia coli (strain K12)	2.7.8.-	ecj:JW5150;eco:b1046;ecoc:C3026_06365;	947321;
P75952	COMR_ECOLI	comR ycfQ b1111 JW5159	HTH-type transcriptional repressor ComR (Copper outer membrane regulator)	Escherichia coli (strain K12)		ecj:JW5159;eco:b1111;ecoc:C3026_06700;	947425;
P75954	YCFS_ECOLI	ycfS b1113 JW5820	Probable L,D-transpeptidase YcfS (EC 2.-.-.-)	Escherichia coli (strain K12)	2.-.-.-	ecj:JW5820;eco:b1113;	945666;
P75958	LOLE_ECOLI	lolE ycfW b1118 JW1104	Lipoprotein-releasing system transmembrane protein LolE	Escherichia coli (strain K12)		ecj:JW1104;eco:b1118;ecoc:C3026_06735;	75203704;945665;
P75966	RLUE_ECOLI	rluE ymfC b1135 JW1121	Ribosomal large subunit pseudouridine synthase E (EC 5.4.99.20) (rRNA pseudouridylate synthase E) (rRNA-uridine isomerase E)	Escherichia coli (strain K12)	5.4.99.20	ecj:JW1121;eco:b1135;ecoc:C3026_06825;	75203721;945701;
P75987	IRAM_ECOLI	iraM elb1 elbA ycgW b1160 JW1147	Anti-adapter protein IraM (Enhancing lycopene biosynthesis protein 1)	Escherichia coli (strain K12)		ecj:JW1147;eco:b1160;ecoc:C3026_06835;	945729;
P75989	BLUR_ECOLI	bluR ycgE b1162 JW1149	HTH-type transcriptional repressor BluR	Escherichia coli (strain K12)		ecj:JW1149;eco:b1162;ecoc:C3026_06850;	75203725;945735;
P75993	ARIR_ECOLI	ariR ymgB b1166 JW1153	Probable two-component-system connector protein AriR	Escherichia coli (strain K12)		ecj:JW1153;eco:b1166;ecoc:C3026_06870;	75171267;75203729;945340;
P76004	YCGM_ECOLI	ycgM b1180 JW1169	Oxaloacetate tautomerase YcgM (EC 5.3.2.2)	Escherichia coli (strain K12)	5.3.2.2	ecj:JW1169;eco:b1180;ecoc:C3026_06955;	946115;
P76016	DHAR_ECOLI	dhaR ycgU b1201 JW5188	PTS-dependent dihydroxyacetone kinase operon regulatory protein	Escherichia coli (strain K12)		ecj:JW5188;eco:b1201;ecoc:C3026_07060;	945743;
P76027	OPPD_ECOLI	oppD b1246 JW1238	Oligopeptide transport ATP-binding protein OppD (EC 7.4.2.6)	Escherichia coli (strain K12)	7.4.2.6	ecj:JW1238;eco:b1246;ecoc:C3026_07320;	945802;
P76041	GGAP_ECOLI	ycjM ggaP b1309 JW1302	Glucosylglycerate phosphorylase (GGa phosphorylase) (GGaP) (EC 2.4.1.352)	Escherichia coli (strain K12)	2.4.1.352	ecj:JW1302;eco:b1309;ecoc:C3026_07675;	945659;
P76042	YCJN_ECOLI	ycjN b1310 JW1303	Probable maltose-binding protein YcjN	Escherichia coli (strain K12)		ecj:JW1303;eco:b1310;ecoc:C3026_07680;	945696;
P76043	YCJQ_ECOLI	ycjQ b1313 JW1306	D-guloside 3-dehydrogenase (EC 1.1.1.-)	Escherichia coli (strain K12)	1.1.1.-	ecj:JW1306;eco:b1313;ecoc:C3026_07695;	945971;
P76044	YCJR_ECOLI	ycjR b1314 JW5202	3-dehydro-D-guloside 4-epimerase (EC 5.1.3.-) (3-keto-D-guloside 4-epimerase)	Escherichia coli (strain K12)	5.1.3.-	ecj:JW5202;eco:b1314;ecoc:C3026_07700;	947427;
P76052	ABGB_ECOLI	abgB ydaI b1337 JW1331 ECK1333	p-aminobenzoyl-glutamate hydrolase subunit B (EC 3.5.1.-) (PABA-GLU hydrolase) (PGH)	Escherichia coli (strain K12)	3.5.1.-	ecj:JW1331;eco:b1337;ecoc:C3026_07830;	945950;
P76079	PAAC_ECOLI	paaC ydbP b1390 JW1385	1,2-phenylacetyl-CoA epoxidase, subunit C (1,2-phenylacetyl-CoA epoxidase, structural subunit beta) (1,2-phenylacetyl-CoA monooxygenase, subunit C)	Escherichia coli (strain K12)		ecj:JW1385;eco:b1390;ecoc:C3026_08115;	945956;
P76083	PAAH_ECOLI	paaH ydbU b1395 JW1390	3-hydroxyadipyl-CoA dehydrogenase (EC 1.1.1.-)	Escherichia coli (strain K12)	1.1.1.-	ecj:JW1390;eco:b1395;ecoc:C3026_08140;	945940;
