Entry	Entry Name	Gene Names	Protein names	Organism	EC number	KEGG	GeneID
P0AA89	DOSC_ECOLI	dosC dgcO yddV b1490 JW5241	Diguanylate cyclase DosC (DGC) (EC 2.7.7.65) (Direct oxygen-sensing cyclase)	Escherichia coli (strain K12)	2.7.7.65	ecj:JW5241;eco:b1490;ecoc:C3026_08630;	75171576;945835;
P0AA93	YPDA_ECOLI	ypdA b2380 JW5388	Sensor histidine kinase YpdA (EC 2.7.13.3)	Escherichia coli (strain K12)	2.7.13.3	ecj:JW5388;eco:b2380;ecoc:C3026_13235;	75172499;75202551;946723;
P0AA99	DPAA_ECOLI	dpaA ldtF yafK b0224 JW0214	Peptidoglycan meso-diaminopimelic acid protein amidase A (EC 3.4.-.-) (Carboxypeptidase) (Murein L,D-endopeptidase) (Transpeptidase-like protein DpaA)	Escherichia coli (strain K12)	3.4.-.-	ecj:JW0214;eco:b0224;ecoc:C3026_01060;ecoc:C3026_23800;	93777171;944910;
P0AAA9	ZRAP_ECOLI	zraP yjaI zra b4002 JW5546	Signaling pathway modulator ZraP (Zinc resistance-associated protein) (Zra periplasmic repressor partner) (Zra system accessory protein ZraP)	Escherichia coli (strain K12)		ecj:JW5546;eco:b4002;ecoc:C3026_21615;	93777892;948507;
P0AAB4	UBID_ECOLI	ubiD yigC yigY b3843 JW3819	3-octaprenyl-4-hydroxybenzoate carboxy-lyase (EC 4.1.1.98) (Polyprenyl p-hydroxybenzoate decarboxylase)	Escherichia coli (strain K12)	4.1.1.98	ecj:JW3819;eco:b3843;ecoc:C3026_20780;	93778094;948326;
P0AAC6	YCCA_ECOLI	yccA b0970 JW0953	Modulator of FtsH protease YccA	Escherichia coli (strain K12)		ecj:JW0953;eco:b0970;ecoc:C3026_05925;	86945864;89515849;946016;
P0AAC8	ISCA_ECOLI	iscA yfhF b2528 JW2512	Iron-binding protein IscA (Iron-sulfur cluster assembly protein)	Escherichia coli (strain K12)		ecj:JW2512;eco:b2528;ecoc:C3026_14010;	86860654;93774608;946999;
P0AAD6	SDAC_ECOLI	sdaC dcrA b2796 JW2767	Serine transporter SdaC (H(+)/L-serine symporter) (L-serine transport system)	Escherichia coli (strain K12)		ecj:JW2767;eco:b2796;ecoc:C3026_15375;	93779202;947264;
P0AAD8	TDCC_ECOLI	tdcC b3116 JW3087	Threonine/serine transporter TdcC (H(+)/threonine-serine symporter)	Escherichia coli (strain K12)		ecj:JW3087;eco:b3116;ecoc:C3026_16995;	93778869;947629;
P0AAE0	CYCA_ECOLI	cycA dagA ytfD b4208 JW4166	D-serine/D-alanine/glycine transporter (Amino acid carrier CycA)	Escherichia coli (strain K12)		ecj:JW4166;eco:b4208;ecoc:C3026_22730;	93777613;948725;
P0AAE8	CADB_ECOLI	cadB b4132 JW4093	Cadaverine/lysine antiporter	Escherichia coli (strain K12)		ecj:JW4093;eco:b4132;ecoc:C3026_22335;	75169651;75203985;948654;
P0AAF1	POTE_ECOLI	potE b0692 JW0679	Putrescine transporter PotE (Putrescine-proton symporter / putrescine-ornithine antiporter)	Escherichia coli (strain K12)		ecj:JW0679;eco:b0692;ecoc:C3026_03450;	93776795;945422;
P0AAG0	DPPD_ECOLI	dppD b3541 JW3510	Dipeptide transport ATP-binding protein DppD (EC 7.4.2.9)	Escherichia coli (strain K12)	7.4.2.9	ecj:JW3510;eco:b3541;ecoc:C3026_19190;	75173734;75201990;948065;
P0AAH0	PSTB_ECOLI	pstB phoT b3725 JW3703	Phosphate import ATP-binding protein PstB (EC 7.3.2.1) (ABC phosphate transporter) (Phosphate-transporting ATPase)	Escherichia coli (strain K12)	7.3.2.1	ecj:JW3703;eco:b3725;ecoc:C3026_20190;	93778212;948240;
P0AAH4	SAPD_ECOLI	sapD trkE b1291 JW1284	Putrescine export system ATP-binding protein SapD	Escherichia coli (strain K12)		ecj:JW1284;eco:b1291;ecoc:C3026_07580;	86859890;93775416;946203;
P0AAI3	FTSH_ECOLI	ftsH hflB mrsC std tolZ b3178 JW3145	ATP-dependent zinc metalloprotease FtsH (EC 3.4.24.-) (Cell division protease FtsH)	Escherichia coli (strain K12)	3.4.24.-	ecj:JW3145;eco:b3178;ecoc:C3026_17305;	93778803;947690;
P0AAI5	FABF_ECOLI	fabF fabJ b1095 JW1081	3-oxoacyl-[acyl-carrier-protein] synthase 2 (EC 2.3.1.179) (3-oxoacyl-[acyl-carrier-protein] synthase II) (Beta-ketoacyl-ACP synthase II) (KAS II)	Escherichia coli (strain K12)	2.3.1.179	ecj:JW1081;eco:b1095;ecoc:C3026_06620;	86945966;946665;
P0AAJ3	FDNH_ECOLI	fdnH b1475 JW1471	Formate dehydrogenase, nitrate-inducible, iron-sulfur subunit (Anaerobic formate dehydrogenase iron-sulfur subunit) (Formate dehydrogenase-N subunit beta) (FDH-N subunit beta)	Escherichia coli (strain K12)		ecj:JW1471;eco:b1475;ecoc:C3026_08555;	86859779;948794;
P0AAJ5	FDOH_ECOLI	fdoH b3893 JW3864	Formate dehydrogenase-O iron-sulfur subunit (Aerobic formate dehydrogenase iron-sulfur subunit) (FDH-Z subunit beta) (Formate dehydrogenase-O subunit beta)	Escherichia coli (strain K12)		ecj:JW3864;eco:b3893;ecoc:C3026_21045;	86861996;93778045;948395;
P0AAM1	CYBH_ECOLI	hyaC b0974 JW0956	Probable Ni/Fe-hydrogenase 1 B-type cytochrome subunit	Escherichia coli (strain K12)		ecj:JW0956;eco:b0974;ecoc:C3026_05945;	75171048;945581;
P0AAM3	HYPC_ECOLI	hypC b2728 JW2698	Hydrogenase maturation factor HypC (Chaperone-type protein HypC) (Hydrogenase accessory chaperone HypC)	Escherichia coli (strain K12)		ecj:JW2698;eco:b2728;ecoc:C3026_15010;	86860825;93779280;947192;
P0AAM7	HYBG_ECOLI	hybG b2990 JW2958	Hydrogenase maturation factor HybG (Hydrogenase-2 operon protein HybG)	Escherichia coli (strain K12)		ecj:JW2958;eco:b2990;ecoc:C3026_16355;	86861135;93778995;948020;
