ecocyc_id,entity_id,entity_type,mapping_method,source_file
EG11675,gene.b0134,gene,ACCESSION-1,genes.dat
EG12248,gene.b3522,gene,ACCESSION-1,genes.dat
G6950,gene.b1755,gene,ACCESSION-1,genes.dat
EG11589,gene.b3991,gene,ACCESSION-1,genes.dat
G7695,gene.b3267,gene,ACCESSION-1,genes.dat
EG10007,gene.b2307,gene,ACCESSION-1,genes.dat
EG10737,gene.b1158,gene,ACCESSION-1,genes.dat
EG10724,gene.b4093,gene,ACCESSION-1,genes.dat
G6723,gene.b1402,gene,ACCESSION-1,genes.dat
G6683,gene.b1359,gene,ACCESSION-1,genes.dat
EG10528,gene.b4036,gene,ACCESSION-1,genes.dat
EG11953,gene.b4081,gene,ACCESSION-1,genes.dat
EG12361,gene.b2842,gene,ACCESSION-1,genes.dat
EG10998,gene.b0002,gene,ACCESSION-1,genes.dat
G6300,gene.b0544,gene,ACCESSION-1,genes.dat
G7920,gene.b4310,gene,ACCESSION-1,genes.dat
EG11727,gene.b3717,gene,ACCESSION-1,genes.dat
EG12356,gene.b3422,gene,ACCESSION-1,genes.dat
G6749,gene.b1438,gene,ACCESSION-1,genes.dat
G0-10652,gene.b4679,gene,ACCESSION-1,genes.dat
G6948,gene.b1753,gene,ACCESSION-1,genes.dat
EG11743,gene.b1495,gene,ACCESSION-1,genes.dat
EG10915,gene.b2609,gene,ACCESSION-1,genes.dat
EG10110,gene.b0312,gene,ACCESSION-1,genes.dat
EG10107,gene.b3572,gene,ACCESSION-1,genes.dat
EG10545,gene.b0181,gene,ACCESSION-1,genes.dat
EG12115,gene.b4374,gene,ACCESSION-1,genes.dat
G7135,gene.b2103,gene,ACCESSION-1,genes.dat
EG11736,gene.b0200,gene,ACCESSION-1,genes.dat
G6871,gene.b1627,gene,ACCESSION-1,genes.dat
G6264,gene.b0488,gene,ACCESSION-1,genes.dat
G0-9041,gene.b4453,gene,ACCESSION-1,genes.dat
G7074,gene.b1994,gene,ACCESSION-1,genes.dat
G6912,gene.b1686,gene,ACCESSION-1,genes.dat
EG11667,gene.b2219,gene,ACCESSION-1,genes.dat
EG11795,gene.b2808,gene,ACCESSION-1,genes.dat
EG11722,gene.b3712,gene,ACCESSION-1,genes.dat
G0-10439,gene.b4513,gene,ACCESSION-1,genes.dat
EG12275,gene.b3567,gene,ACCESSION-1,genes.dat
G0-10699,gene.b4719,gene,ACCESSION-1,genes.dat
EG10197,gene.b2424,gene,ACCESSION-1,genes.dat
G7175,gene.b2268,gene,ACCESSION-1,genes.dat
G6162,gene.b0291,gene,ACCESSION-1,genes.dat
G7485,gene.b2866,gene,ACCESSION-1,genes.dat
G6698,gene.b1375,gene,ACCESSION-1,genes.dat
EG11859,gene.b3895,gene,ACCESSION-1,genes.dat
