source_id,relation_type,target_id,direction,evidence,source_database,source_record_id,notes
reaction.ecocyc.BADH-RXN,participates_in,ecocyc.BETSYN-PWY,directed,database,EcoCyc,BETSYN-PWY,EcoCyc pathway REACTION-LIST
reaction.ecocyc.CHD-RXN,participates_in,ecocyc.BETSYN-PWY,directed,database,EcoCyc,BETSYN-PWY,EcoCyc pathway REACTION-LIST
reaction.ecocyc.RXN-2962,participates_in,ecocyc.PWY-1801,directed,database,EcoCyc,PWY-1801,EcoCyc pathway REACTION-LIST
reaction.ecocyc.RXN-2961,participates_in,ecocyc.PWY-1801,directed,database,EcoCyc,PWY-1801,EcoCyc pathway REACTION-LIST
reaction.ecocyc.S-FORMYLGLUTATHIONE-HYDROLASE-RXN,participates_in,ecocyc.PWY-1801,directed,database,EcoCyc,PWY-1801,EcoCyc pathway REACTION-LIST
reaction.ecocyc.DALADALALIG-RXN,participates_in,ecocyc.PWY-6387,directed,database,EcoCyc,PWY-6387,EcoCyc pathway REACTION-LIST
reaction.ecocyc.UDP-NACMURALGLDAPLIG-RXN,participates_in,ecocyc.PWY-6387,directed,database,EcoCyc,PWY-6387,EcoCyc pathway REACTION-LIST
reaction.ecocyc.GLUTRACE-RXN,participates_in,ecocyc.PWY-6387,directed,database,EcoCyc,PWY-6387,EcoCyc pathway REACTION-LIST
reaction.ecocyc.UDP-NACMURALA-GLU-LIG-RXN,participates_in,ecocyc.PWY-6387,directed,database,EcoCyc,PWY-6387,EcoCyc pathway REACTION-LIST
reaction.ecocyc.UDP-NACMUR-ALA-LIG-RXN,participates_in,ecocyc.PWY-6387,directed,database,EcoCyc,PWY-6387,EcoCyc pathway REACTION-LIST
reaction.ecocyc.UDP-NACMURALGLDAPAALIG-RXN,participates_in,ecocyc.PWY-6387,directed,database,EcoCyc,PWY-6387,EcoCyc pathway REACTION-LIST
reaction.ecocyc.UDPNACETYLMURAMATEDEHYDROG-RXN,participates_in,ecocyc.PWY-6387,directed,database,EcoCyc,PWY-6387,EcoCyc pathway REACTION-LIST
reaction.ecocyc.UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN,participates_in,ecocyc.PWY-6387,directed,database,EcoCyc,PWY-6387,EcoCyc pathway REACTION-LIST
reaction.ecocyc.RXN-9558,participates_in,ecocyc.PWY-5973,directed,database,EcoCyc,PWY-5973,EcoCyc pathway REACTION-LIST
reaction.ecocyc.RXN-9557,participates_in,ecocyc.PWY-5973,directed,database,EcoCyc,PWY-5973,EcoCyc pathway REACTION-LIST
reaction.ecocyc.RXN-9556,participates_in,ecocyc.PWY-5973,directed,database,EcoCyc,PWY-5973,EcoCyc pathway REACTION-LIST
reaction.ecocyc.2.3.1.179-RXN,participates_in,ecocyc.PWY-5973,directed,database,EcoCyc,PWY-5973,EcoCyc pathway REACTION-LIST
reaction.ecocyc.RXN-9555,participates_in,ecocyc.PWY-5973,directed,database,EcoCyc,PWY-5973,EcoCyc pathway REACTION-LIST
reaction.ecocyc.RXN-9787,participates_in,ecocyc.PWY-8618,directed,database,EcoCyc,PWY-8618,EcoCyc pathway REACTION-LIST
reaction.ecocyc.RXN-18388,participates_in,ecocyc.PWY-8618,directed,database,EcoCyc,PWY-8618,EcoCyc pathway REACTION-LIST
reaction.ecocyc.NAG6PDEACET-RXN,participates_in,ecocyc.GLUAMCAT-PWY,directed,database,EcoCyc,GLUAMCAT-PWY,EcoCyc pathway REACTION-LIST
reaction.ecocyc.GLUCOSAMINE-6-P-DEAMIN-RXN,participates_in,ecocyc.GLUAMCAT-PWY,directed,database,EcoCyc,GLUAMCAT-PWY,EcoCyc pathway REACTION-LIST
reaction.ecocyc.RXN0-5229,participates_in,ecocyc.PWY0-1306,directed,database,EcoCyc,PWY0-1306,EcoCyc pathway REACTION-LIST
reaction.ecocyc.RXN0-3501,participates_in,ecocyc.PWY0-1581,directed,database,EcoCyc,PWY0-1581,EcoCyc pathway REACTION-LIST
reaction.ecocyc.RXN-15740,participates_in,ecocyc.PWY0-1581,directed,database,EcoCyc,PWY0-1581,EcoCyc pathway REACTION-LIST
reaction.ecocyc.KETOGLUTREDUCT-RXN,participates_in,ecocyc.SERSYN-PWY-1,directed,database,EcoCyc,SERSYN-PWY-1,EcoCyc pathway REACTION-LIST
reaction.ecocyc.RXN-14932,participates_in,ecocyc.SERSYN-PWY-1,directed,database,EcoCyc,SERSYN-PWY-1,EcoCyc pathway REACTION-LIST
reaction.ecocyc.RXN0-5114,participates_in,ecocyc.SERSYN-PWY-1,directed,database,EcoCyc,SERSYN-PWY-1,EcoCyc pathway REACTION-LIST
reaction.ecocyc.PGLYCDEHYDROG-RXN,participates_in,ecocyc.SERSYN-PWY-1,directed,database,EcoCyc,SERSYN-PWY-1,EcoCyc pathway REACTION-LIST
reaction.ecocyc.PSERTRANSAM-RXN,participates_in,ecocyc.SERSYN-PWY-1,directed,database,EcoCyc,SERSYN-PWY-1,EcoCyc pathway REACTION-LIST
reaction.ecocyc.RXN-16650,participates_in,ecocyc.PEPTIDOGLYCANSYN-PWY,directed,database,EcoCyc,PEPTIDOGLYCANSYN-PWY,EcoCyc pathway REACTION-LIST
reaction.ecocyc.TRANS-RXN0-286,participates_in,ecocyc.PEPTIDOGLYCANSYN-PWY,directed,database,EcoCyc,PEPTIDOGLYCANSYN-PWY,EcoCyc pathway REACTION-LIST
reaction.ecocyc.PHOSNACMURPENTATRANS-RXN,participates_in,ecocyc.PEPTIDOGLYCANSYN-PWY,directed,database,EcoCyc,PEPTIDOGLYCANSYN-PWY,EcoCyc pathway REACTION-LIST
reaction.ecocyc.NACGLCTRANS-RXN,participates_in,ecocyc.PEPTIDOGLYCANSYN-PWY,directed,database,EcoCyc,PEPTIDOGLYCANSYN-PWY,EcoCyc pathway REACTION-LIST
