source_string_id,target_string_id,source_entity_ids,target_entity_ids,source_mapping_status,target_mapping_status,string_channel,channel_score,channel_score_norm,base_weight,edge_weight,combined_score,neighborhood,fusion,cooccurence,coexpression,experimental,database,textmining
511145.b3319,511145.b0172,protein.P60723,protein.P0A805,unique,unique,experimental,945,0.945,0.85,0.8032,994,0,0,348,317,945,0,799
511145.b3319,511145.b3305,protein.P60723,protein.P0AG55,unique,unique,experimental,950,0.950,0.85,0.8075,999,405,0,221,996,950,161,940
511145.b3319,511145.b1717,protein.P60723,protein.P0A7Q1,unique,unique,experimental,945,0.945,0.85,0.8032,995,0,0,0,905,945,0,263
511145.b3319,511145.b3186,protein.P60723,protein.P0AG48,unique,unique,experimental,945,0.945,0.85,0.8032,999,0,0,0,953,945,0,702
511145.b3319,511145.b3298,protein.P60723,protein.P0A7S9,unique,unique,experimental,949,0.949,0.85,0.8066,999,313,0,0,996,949,772,857
511145.b3319,511145.b3339,protein.P60723,protein.P0CE47,unique,unique,experimental,999,0.999,0.85,0.8491,999,98,0,0,867,999,74,355
511145.b3319,511145.b3287,protein.P60723,protein.P0A6K3,unique,unique,experimental,980,0.980,0.85,0.8330,987,0,0,367,49,980,0,0
511145.b3319,511145.b3169,protein.P60723,protein.P0AFF6,unique,unique,experimental,805,0.805,0.85,0.6843,980,46,0,0,902,805,0,0
511145.b3319,511145.b3981,protein.P60723,protein.P0AG96,unique,unique,experimental,800,0.800,0.85,0.6800,970,158,0,0,836,800,0,46
511145.b3319,511145.b3304,protein.P60723,protein.P0C018,unique,unique,experimental,945,0.945,0.85,0.8032,999,405,0,315,998,945,603,701
511145.b3319,511145.b3341,protein.P60723,protein.P02359,unique,unique,experimental,947,0.947,0.85,0.8049,999,158,0,261,984,947,772,650
511145.b3319,511145.b3321,protein.P60723,protein.P0A7R5,unique,unique,experimental,949,0.949,0.85,0.8066,999,706,433,185,999,949,772,912
511145.b3319,511145.b3988,protein.P60723,protein.P0A8T7,unique,unique,experimental,806,0.806,0.85,0.6851,985,158,0,0,880,806,0,334
511145.b3319,511145.b0436,protein.P60723,protein.P0A850,unique,unique,experimental,896,0.896,0.85,0.7616,994,85,0,0,939,896,0,97
511145.b3319,511145.b3309,protein.P60723,protein.P60624,unique,unique,experimental,950,0.950,0.85,0.8075,999,461,0,173,978,950,309,717
511145.b3319,511145.b4200,protein.P60723,protein.P02358,unique,unique,experimental,945,0.945,0.85,0.8032,999,0,0,0,979,945,0,414
511145.b3319,511145.b3311,protein.P60723,protein.P0AG63,unique,unique,experimental,945,0.945,0.85,0.8032,999,671,0,256,975,945,772,719
511145.b3319,511145.b3464,protein.P60723,protein.P10121,unique,unique,experimental,909,0.909,0.85,0.7727,939,0,0,0,98,909,0,325
511145.b3319,511145.b4550,protein.P60723,protein.P36675,unique,unique,experimental,999,0.999,0.85,0.8491,999,154,0,0,0,999,0,0
511145.b3319,511145.b3301,protein.P60723,protein.P02413,unique,unique,experimental,972,0.972,0.85,0.8262,999,398,0,307,990,972,200,805
511145.b3319,511145.b3310,protein.P60723,protein.P0ADY3,unique,unique,experimental,951,0.951,0.85,0.8083,999,463,0,221,978,951,200,866
511145.b3319,511145.b3295,protein.P60723,protein.P0A7Z4,unique,unique,experimental,807,0.807,0.85,0.6860,999,290,0,356,994,807,0,408
511145.b3319,511145.b4203,protein.P60723,protein.P0A7R1,unique,unique,experimental,945,0.945,0.85,0.8032,999,47,0,0,953,945,0,701
511145.b3319,511145.b3636,protein.P60723,protein.P0A7N9,unique,unique,experimental,945,0.945,0.85,0.8032,998,108,0,0,967,945,0,405
511145.b3319,511145.b3065,protein.P60723,protein.P68679,unique,unique,experimental,945,0.945,0.85,0.8032,986,0,0,171,512,945,0,444
511145.b3319,511145.b3302,protein.P60723,protein.P0AG51,unique,unique,experimental,945,0.945,0.85,0.8032,999,398,0,0,996,945,571,543
511145.b3319,511145.b2784,protein.P60723,protein.P0AG20,unique,unique,experimental,999,0.999,0.85,0.8491,999,0,0,0,0,999,0,0
511145.b3319,511145.b3340,protein.P60723,protein.P0A6M8,unique,unique,experimental,992,0.992,0.85,0.8432,999,158,0,418,968,992,74,409
511145.b3319,511145.b4234,protein.P60723,protein.P0A8X0,unique,unique,experimental,804,0.804,0.85,0.6834,804,0,0,0,0,804,0,0
511145.b3319,511145.b3183,protein.P60723,protein.P42641,unique,unique,experimental,839,0.839,0.85,0.7131,847,0,0,0,90,839,0,0
511145.b3319,511145.b3590,protein.P60723,protein.P14081,unique,unique,experimental,946,0.946,0.85,0.8041,991,0,0,0,252,946,771,200
511145.b3319,511145.b4147,protein.P60723,protein.P0A6N4,unique,unique,experimental,990,0.990,0.85,0.8415,997,45,0,0,721,990,0,112
511145.b3319,511145.b1716,protein.P60723,protein.P0A7L3,unique,unique,experimental,945,0.945,0.85,0.8032,999,0,0,214,896,945,0,858
511145.b3319,511145.b3297,protein.P60723,protein.P0A7R9,unique,unique,experimental,950,0.950,0.85,0.8075,999,308,0,239,996,950,772,859
511145.b3319,511145.b0169,protein.P60723,protein.P0A7V0,unique,unique,experimental,947,0.947,0.85,0.8049,999,158,0,269,979,947,772,858
511145.b3319,511145.b0637,protein.P60723,protein.P0AAT6,unique,unique,experimental,943,0.943,0.85,0.8015,945,0,0,0,84,943,0,42
511145.b3319,511145.b2474,protein.P60723,protein.P76562,unique,unique,experimental,711,0.711,0.85,0.6043,711,0,0,0,0,711,0,0
511145.b3319,511145.b0023,protein.P60723,protein.P0A7U7,unique,unique,experimental,945,0.945,0.85,0.8032,991,0,0,0,708,945,0,495
511145.b3319,511145.b4375,protein.P60723,protein.P0A7I4,unique,unique,experimental,849,0.849,0.85,0.7217,864,0,0,0,140,849,0,0
511145.b3319,511145.b2609,protein.P60723,protein.P0A7T3,unique,unique,experimental,945,0.945,0.85,0.8032,999,0,0,0,980,945,0,648
511145.b3319,511145.b4202,protein.P60723,protein.P0A7T7,unique,unique,experimental,945,0.945,0.85,0.8032,999,0,0,0,979,945,0,544
511145.b3319,511145.b2331,protein.P60723,protein.P0A8B2,unique,unique,experimental,800,0.800,0.85,0.6800,841,0,0,241,0,800,0,0
511145.b3319,511145.b3707,protein.P60723,protein.P0AD89,unique,unique,experimental,900,0.900,0.85,0.7650,900,0,0,0,0,900,0,45
511145.b3319,511145.b0957,protein.P60723,protein.P0A910,unique,unique,experimental,800,0.800,0.85,0.6800,838,0,0,0,82,800,0,193
511145.b3319,511145.b3231,protein.P60723,protein.P0AA10,unique,unique,experimental,999,0.999,0.85,0.8491,999,158,0,310,988,999,221,865
511145.b3319,511145.b0191,protein.P60723,protein.P40711,unique,unique,experimental,845,0.845,0.85,0.7182,888,0,0,0,245,845,0,124
511145.b3319,511145.b4506,protein.P60723,protein.Q2EEQ2,unique,unique,experimental,926,0.926,0.85,0.7871,984,98,0,0,755,926,0,146
511145.b3319,511145.b3649,protein.P60723,protein.P0A800,unique,unique,experimental,800,0.800,0.85,0.6800,949,158,0,0,714,800,0,65
511145.b3319,511145.b3317,protein.P60723,protein.P60422,unique,unique,experimental,954,0.954,0.85,0.8109,999,764,690,562,997,954,140,947
511145.b3319,511145.b3179,protein.P60723,protein.P0C0R7,unique,unique,experimental,726,0.726,0.85,0.6171,726,0,0,0,45,726,0,0
511145.b3319,511145.b1282,protein.P60723,protein.P08245,unique,unique,experimental,742,0.742,0.85,0.6307,767,0,0,0,55,742,0,124
511145.b3319,511145.b3318,protein.P60723,protein.P0ADZ0,unique,unique,experimental,949,0.949,0.85,0.8066,999,800,0,0,999,949,743,858
511145.b3319,511145.b3982,protein.P60723,protein.P0AFG0,unique,unique,experimental,814,0.814,0.85,0.6919,980,157,0,168,863,814,0,95
511145.b3319,511145.b3400,protein.P60723,protein.P0ACG8,unique,unique,experimental,886,0.886,0.85,0.7531,885,0,0,0,0,886,0,0
511145.b3319,511145.b3299,protein.P60723,protein.P0A7Q6,unique,unique,experimental,932,0.932,0.85,0.7922,998,373,0,0,953,932,0,347
511145.b3319,511145.b3556,protein.P60723,protein.P0A9X9,unique,unique,experimental,808,0.808,0.85,0.6868,830,0,0,0,100,808,0,93
511145.b3319,511145.b3315,protein.P60723,protein.P61175,unique,unique,experimental,947,0.947,0.85,0.8049,999,713,0,588,999,947,868,929
511145.b3319,511145.b0911,protein.P60723,protein.P0AG67,unique,unique,experimental,941,0.941,0.85,0.7998,999,61,0,0,965,941,253,542
511145.b3319,511145.b3637,protein.P60723,protein.P0A7M2,unique,unique,experimental,945,0.945,0.85,0.8032,998,43,0,0,940,945,0,538
511145.b3319,511145.b3313,protein.P60723,protein.P0ADY7,unique,unique,experimental,945,0.945,0.85,0.8032,999,671,226,559,993,945,95,908
511145.b3319,511145.b0097,protein.P60723,protein.P62395,unique,unique,experimental,900,0.900,0.85,0.7650,900,0,0,0,0,900,0,0
511145.b3319,511145.b3303,protein.P60723,protein.P0A7W1,unique,unique,experimental,947,0.947,0.85,0.8049,999,398,0,223,997,947,772,912
511145.b3319,511145.b3320,protein.P60723,protein.P60438,unique,unique,experimental,947,0.947,0.85,0.8049,999,795,894,671,998,947,226,952
511145.b3319,511145.b3168,protein.P60723,protein.P0A705,unique,unique,experimental,744,0.744,0.85,0.6324,971,72,0,209,788,744,90,363
511145.b3319,511145.b3307,protein.P60723,protein.P0AG59,unique,unique,experimental,945,0.945,0.85,0.8032,999,443,0,190,996,945,772,736
511145.b3319,511145.b3987,protein.P60723,protein.P0A8V2,unique,unique,experimental,809,0.809,0.85,0.6876,998,158,0,0,962,809,0,713
