pathway_id	member_type	member_id
eco00620	compound	C02488
eco00620	compound	C02504
eco00620	compound	C03248
eco00620	compound	C03451
eco00620	compound	C03981
eco00620	compound	C05125
eco00620	compound	C05993
eco00620	compound	C05994
eco00620	compound	C15972
eco00620	compound	C15973
eco00620	compound	C16255
eco00630	compound	C00007
eco00630	compound	C00011
eco00630	compound	C00014
eco00630	compound	C00022
eco00630	compound	C00024
eco00630	compound	C00025
eco00630	compound	C00026
eco00630	compound	C00027
eco00630	compound	C00033
eco00630	compound	C00036
eco00630	compound	C00037
eco00630	compound	C00042
eco00630	compound	C00048
eco00630	compound	C00049
eco00630	compound	C00058
eco00630	compound	C00064
eco00630	compound	C00065
eco00630	compound	C00091
eco00630	compound	C00100
eco00630	compound	C00111
eco00630	compound	C00136
eco00630	compound	C00149
eco00630	compound	C00158
eco00630	compound	C00160
eco00630	compound	C00168
eco00630	compound	C00197
eco00630	compound	C00209
eco00630	compound	C00258
eco00630	compound	C00266
eco00630	compound	C00311
eco00630	compound	C00313
eco00630	compound	C00332
eco00630	compound	C00417
eco00630	compound	C00552
eco00630	compound	C00631
eco00630	compound	C00683
eco00630	compound	C00798
eco00630	compound	C00877
eco00630	compound	C00888
eco00630	compound	C00898
eco00630	compound	C00975
eco00630	compound	C00988
eco00630	compound	C01127
eco00630	compound	C01146
eco00630	compound	C01182
eco00630	compound	C01213
eco00630	compound	C01380
eco00630	compound	C01732
eco00630	compound	C01989
eco00630	compound	C01990
eco00630	compound	C02123
eco00630	compound	C02405
eco00630	compound	C03217
eco00630	compound	C03459
eco00630	compound	C03548
eco00630	compound	C03561
eco00630	compound	C03618
eco00630	compound	C04348
eco00630	compound	C05840
eco00630	compound	C06027
eco00630	compound	C06028
eco00630	compound	C06049
eco00630	compound	C18026
eco00630	compound	C18324
eco00630	compound	C19838
eco00630	compound	C20238
eco00630	compound	C22337
eco00640	compound	C00024
eco00640	compound	C00036
eco00640	compound	C00042
eco00640	compound	C00068
eco00640	compound	C00083
eco00640	compound	C00091
eco00640	compound	C00099
eco00640	compound	C00100
eco00640	compound	C00109
eco00640	compound	C00111
eco00640	compound	C00163
eco00640	compound	C00186
eco00640	compound	C00222
eco00640	compound	C00424
eco00640	compound	C00479
eco00640	compound	C00511
eco00640	compound	C00546
eco00640	compound	C00583
eco00640	compound	C00683
eco00640	compound	C00804
eco00640	compound	C00827
eco00640	compound	C00894
eco00640	compound	C01013
eco00640	compound	C01213
eco00640	compound	C02170
eco00640	compound	C02225
eco00640	compound	C02335
eco00640	compound	C02876
eco00640	compound	C04225
eco00640	compound	C04593
eco00640	compound	C05235
eco00640	compound	C05668
eco00640	compound	C05979
eco00640	compound	C05983
eco00640	compound	C05984
eco00640	compound	C05989
eco00640	compound	C06002
eco00640	compound	C15972
eco00640	compound	C15973
eco00640	compound	C21017
eco00640	compound	C21018
eco00640	compound	C21250
eco00650	compound	C00022
eco00650	compound	C00024
eco00650	compound	C00025
eco00650	compound	C00026
eco00650	compound	C00042
eco00650	compound	C00091
eco00650	compound	C00122
eco00650	compound	C00132
eco00650	compound	C00136
eco00650	compound	C00164
eco00650	compound	C00207
eco00650	compound	C00232
eco00650	compound	C00246
eco00650	compound	C00332
eco00650	compound	C00334
eco00650	compound	C00356
eco00650	compound	C00497
eco00650	compound	C00741
eco00650	compound	C00810
eco00650	compound	C00877
eco00650	compound	C00989
eco00650	compound	C01089
eco00650	compound	C01144
eco00650	compound	C01384
eco00650	compound	C01412
eco00650	compound	C01769
eco00650	compound	C01845
eco00650	compound	C02331
eco00650	compound	C02411
eco00650	compound	C02527
eco00650	compound	C02630
eco00650	compound	C03044
eco00650	compound	C03046
eco00650	compound	C03058
eco00650	compound	C03561
eco00650	compound	C04546
eco00650	compound	C06010
eco00650	compound	C06142
eco00650	compound	C06143
eco00650	compound	C06144
eco00650	compound	C06145
eco00650	compound	C06146
eco00650	compound	C11062
eco00650	compound	C17530
eco00650	compound	C20657
eco00650	compound	C20783
eco00650	compound	C21390
eco00660	compound	C00022
eco00660	compound	C00024
eco00660	compound	C00025
eco00660	compound	C00026
eco00660	compound	C00033
eco00660	compound	C00048
eco00660	compound	C00100
eco00660	compound	C00109
eco00660	compound	C00417
eco00660	compound	C00490
eco00660	compound	C00531
eco00660	compound	C00651
eco00660	compound	C00810
eco00660	compound	C01011
eco00660	compound	C01109
eco00660	compound	C01732
eco00660	compound	C02226
eco00660	compound	C02341
eco00660	compound	C02612
eco00660	compound	C02614
eco00660	compound	C02630
eco00660	compound	C02876
eco00660	compound	C03618
eco00660	compound	C06010
eco00660	compound	C06027
eco00660	compound	C06028
eco00660	compound	C06029
eco00660	compound	C06030
eco00660	compound	C06031
eco00660	compound	C06032
eco00660	compound	C06033
eco00660	compound	C06034
eco00660	compound	C06035
eco00660	compound	C06234
eco00660	compound	C21632
eco00562	compound	C00024
eco00562	compound	C00092
eco00562	compound	C00111
eco00562	compound	C00118
eco00562	compound	C00137
eco00562	compound	C00191
eco00562	compound	C00222
eco00562	compound	C00558
eco00562	compound	C00641
eco00562	compound	C00691
eco00562	compound	C01177
eco00562	compound	C01194
eco00562	compound	C01204
eco00562	compound	C01220
eco00562	compound	C01243
eco00562	compound	C01245
eco00562	compound	C01272
eco00562	compound	C01277
eco00562	compound	C01284
eco00562	compound	C03546
eco00562	compound	C03659
eco00562	compound	C03660
eco00562	compound	C04006
eco00562	compound	C04062
eco00562	compound	C04063
eco00562	compound	C04287
eco00562	compound	C04477
eco00562	compound	C04520
eco00562	compound	C04549
eco00562	compound	C04563
eco00562	compound	C04579
eco00562	compound	C04637
eco00562	compound	C05981
eco00562	compound	C06153
eco00562	compound	C06892
eco00562	compound	C06893
eco00562	compound	C11174
eco00562	compound	C11526
eco00562	compound	C11554
eco00562	compound	C11555
eco00562	compound	C11556
eco00562	compound	C11557
eco00562	compound	C16737
eco00562	compound	C19794
eco00562	compound	C19799
eco00562	compound	C19891
eco00562	compound	C20251
eco00562	compound	C20690
eco00562	compound	C21643
eco00562	compound	C21644
eco00566	compound	C00022
eco00566	compound	C00029
eco00566	compound	C00031
eco00566	compound	C00094
eco00566	compound	C00103
eco00566	compound	C00231
eco00566	compound	C00593
eco00566	compound	C05123
eco00566	compound	C05235
