ec_id	reaction_id
ec:2.1.2.1	R09099
ec:2.1.2.1	R00945
ec:2.1.2.10	R02300
ec:2.1.2.10	R04125
ec:2.1.2.11	R01216
ec:2.1.2.11	R01226
ec:2.1.2.13	R07660
ec:2.1.2.2	R04326
ec:2.1.2.2	R04325
ec:2.1.2.3	R04560
ec:2.1.2.9	R03940
ec:2.1.3.15	R04386
ec:2.1.3.2	R01397
ec:2.1.3.3	R01398
ec:2.1.3.5	R02937
ec:2.10.1.1	R09735
ec:2.2.1.1	R01067
ec:2.2.1.1	R01830
ec:2.2.1.1	R06590
ec:2.2.1.1	R06861
ec:2.2.1.1	R06863
ec:2.2.1.1	R01641
ec:2.2.1.2	R01827
ec:2.2.1.2	R08575
ec:2.2.1.6	R00014
ec:2.2.1.6	R03050
ec:2.2.1.6	R04672
ec:2.2.1.6	R04673
ec:2.2.1.6	R08648
ec:2.2.1.6	R00006
ec:2.2.1.6	R00226
ec:2.2.1.7	R05636
ec:2.2.1.9	R08165
ec:2.3.1.1	R00259
ec:2.3.1.109	R00832
ec:2.3.1.117	R04365
ec:2.3.1.118	R04024
ec:2.3.1.118	R08386
ec:2.3.1.12	R02569
ec:2.3.1.129	R04567
ec:2.3.1.129	R12920
ec:2.3.1.15	R09380
ec:2.3.1.15	R00851
ec:2.3.1.15	R02617
ec:2.3.1.157	R05332
ec:2.3.1.16	R13467
ec:2.3.1.16	R00238
ec:2.3.1.16	R00391
ec:2.3.1.16	R00829
ec:2.3.1.16	R00927
ec:2.3.1.16	R01177
ec:2.3.1.16	R03778
ec:2.3.1.16	R03858
ec:2.3.1.16	R03991
ec:2.3.1.16	R04742
ec:2.3.1.16	R04747
ec:2.3.1.16	R05506
ec:2.3.1.16	R05586
ec:2.3.1.16	R07891
ec:2.3.1.16	R07895
ec:2.3.1.16	R07899
ec:2.3.1.16	R07937
ec:2.3.1.16	R07953
ec:2.3.1.16	R08091
ec:2.3.1.16	R08095
ec:2.3.1.16	R13471
ec:2.3.1.16	R13479
ec:2.3.1.16	R13483
ec:2.3.1.174	R00829
ec:2.3.1.179	R02768
ec:2.3.1.179	R04355
ec:2.3.1.179	R04726
ec:2.3.1.179	R04952
ec:2.3.1.179	R04957
ec:2.3.1.179	R04960
ec:2.3.1.179	R04963
ec:2.3.1.179	R04968
ec:2.3.1.179	R07762
ec:2.3.1.179	R10115
ec:2.3.1.179	R10119
ec:2.3.1.18	R02616
ec:2.3.1.180	R10707
ec:2.3.1.181	R07769
ec:2.3.1.181	R07766
ec:2.3.1.181	R12427
ec:2.3.1.181	R12428
ec:2.3.1.191	R04550
ec:2.3.1.191	R12803
ec:2.3.1.210	R10142
ec:2.3.1.223	R09839
ec:2.3.1.234	R10648
ec:2.3.1.241	R05146
ec:2.3.1.242	R10906
ec:2.3.1.243	R05075
ec:2.3.1.243	R12197
ec:2.3.1.245	R11182
ec:2.3.1.251	R12200
ec:2.3.1.251	R12211
ec:2.3.1.251	R11223
ec:2.3.1.251	R12206
ec:2.3.1.251	R12187
ec:2.3.1.266	R04316
ec:2.3.1.267	R04316
ec:2.3.1.274	R12240
ec:2.3.1.275	R12241
ec:2.3.1.280	R11479
ec:2.3.1.286	R10633
ec:2.3.1.286	R10634
ec:2.3.1.29	R00371
ec:2.3.1.30	R00586
ec:2.3.1.31	R01776
ec:2.3.1.313	R13186
ec:2.3.1.39	R01626
ec:2.3.1.40	R04864
ec:2.3.1.41	R10115
ec:2.3.1.41	R10119
ec:2.3.1.41	R02768
ec:2.3.1.41	R04355
ec:2.3.1.41	R04726
ec:2.3.1.41	R04952
ec:2.3.1.41	R04957
ec:2.3.1.41	R04960
ec:2.3.1.41	R04963
ec:2.3.1.41	R04968
ec:2.3.1.41	R07762
ec:2.3.1.46	R01777
ec:2.3.1.47	R10124
ec:2.3.1.47	R03210
ec:2.3.1.51	R09381
ec:2.3.1.51	R02241
ec:2.3.1.51	R02760
ec:2.3.1.53	R00693
ec:2.3.1.54	R06987
ec:2.3.1.54	R00212
ec:2.3.1.57	R01154
ec:2.3.1.57	R03910
ec:2.3.1.61	R02571
